Hub_ID,Hub_Name,Facility_Type,Region,Latitude,Longitude
INF-001,Broome Regional Health Campus,Health,Kimberley,-17.9544,122.2361
INF-002,Kununurra District High School,Education,Kimberley,-15.7736,128.7384
INF-003,Karratha Health Campus,Health,Pilbara,-20.7383,116.8415
INF-004,Hedland Senior High School,Education,Pilbara,-20.3175,118.5925
INF-005,Kalgoorlie Regional Hospital,Health,Goldfields,-30.741,121.4646
INF-006,Leonora Community Health Centre,Health,Goldfields,-28.8851,121.3292
INF-007,Geraldton Regional Hospital,Health,Mid West,-28.777,114.6144
INF-008,Meekatharra District High School,Education,Mid West,-26.5933,118.4984
INF-009,Carnarvon Health Campus,Health,Gascoyne,-24.8826,113.6622
INF-010,Exmouth District High School,Education,Gascoyne,-21.9322,114.1264
